Job,Link,Company,Date,Rating,Timestamp,City,Internship,Salary,Currency,B/N,Explored,Details,Keywords
Senior PHP Developer,job/4500485,АТЕНДИА ЕООД,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
СПЕЦИАЛИСТ УЕБ ДИЗАЙН / FRONT-END DEVELOPER,job/4514585,БенчМарк Груп АД,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Senior Web & Mobile UI/UX Designer,job/4509673,Cars.de / Jobs.bg Ltd.,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Senior Full-stack PHP/SQL Developer,job/4510100,Cars.de / Jobs.bg Ltd.,10.09.18,diamond,10.09.18,София,0,"('6000', '8000')",BGN,Нето,1,,
Senior System Administrator,job/4510167,Cars.de / Jobs.bg Ltd.,10.09.18,diamond,10.09.18,София,0,"('5000', '7000')",BGN,Нето,1,,
Технически сътрудник (цифрова телевизия и интернет) – почасов или пълен работен ден,job/4514503,TTEC Eastern Europe EAD,10.09.18,diamond,10.09.18,Пловдив,0,0,0,0,1,,
Junior Big Data Engineer,job/4514475,"GfK Bulgaria, Market Research Institute",10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
.NET Developer,job/4514112,ЕС БИ ТЕК (ГЛОБЪЛ) ЛИМИТЕД - КЛОН БЪЛГАРИЯ КЧТ,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Product Trainer,job/4514437,ЕС БИ ТЕК (ГЛОБЪЛ) ЛИМИТЕД - КЛОН БЪЛГАРИЯ КЧТ,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Automation QA,job/4514107,ЕС БИ ТЕК (ГЛОБЪЛ) ЛИМИТЕД - КЛОН БЪЛГАРИЯ КЧТ,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
IT специалист Windows поддръжка/ Field Services Windows specialist,job/4514440,АСАП ЕООД,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Head of Risk Analytics,job/4513100,Paysafe Bulgaria EOOD,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Junior Front-end Designer,job/4514394,ЕС БИ ТЕК (ГЛОБЪЛ) ЛИМИТЕД - КЛОН БЪЛГАРИЯ КЧТ,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Jr. Business Process Modeler (Part-Time),job/4514370,ДеГиро – Клон България КЧТ,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Junior Linux Systems Engineer,job/4508574,ANCIENT MEDIA OOD,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Customer Relations Specialist fluent in Finnish,job/4499204,TTEC Eastern Europe EAD,10.09.18,diamond,10.09.18,София,0,"('2800', '3000')",BGN,Бруто,1,,
Analysis Specialist,job/4514179,"GfK Bulgaria, Market Research Institute",10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Web Hosting Customer Service Representative,job/4472542,ANCIENT MEDIA OOD,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
IT Support,job/4513330,IKEA,10.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Junior Software Engineer,job/4491704,ГРАФИКСОФТ ООД,07.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Software Developer C# / .NET,job/4481038,ГРАФИКСОФТ ООД,07.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Java Developer,job/4513068,Ай-Софт БГ ЕООД,07.09.18,diamond,10.09.18,Варна,0,2800,BGN,Нето,1,,
Frontend Developer,job/4513066,ГРАФИКСОФТ ООД,07.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Junior Network Support Engineer (Core or Security),job/4513046,Modis Bulgaria EOOD,07.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Technical Account Manager with German,job/4513039,Hewlett Packard Enterprise / Hewlett-Packard GDBC EOOD,07.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Technical Support Specialist with English (Late/Night shifts),job/4513040,Modis Bulgaria EOOD,07.09.18,diamond,10.09.18,София,0,0,0,0,1,,
Customer Support Specialist with English,job/4513033,Modis Bulgaria EOOD,07.09.18,diamond,10.09.18,София,0,0,0,0,1,,
